"1804";"Als manchman kumpt, da manchman yß, so enweyß manchman nyt wer manchman yß"
"5666v";"Als ons leve here quam gruetede Maria hem des morghens vrentlike ende vraghede hem of he oec den dach bi hoer bliven wolde"
"1804";"Als sich eyn mynsch quatlick geuoelt van der pestilencia"
"5666v";"Als sich im Anfang des 1778. Jahres ein Corps Oesterr. Truppen in Bewegung setzte ....."
"5666v";"Als unse leve here Ihesus syne leve hilghe apostelen vergadert hadde ende hem bevestighet in den rechten kersten gheloven soe hevet he se ghesent toe prediken"
"1804";"Als vnse here Jesus Christus godes sone komen wil tzo ordelende alle manes kune"
"1804";"Alse dat ordel is to ghan zo schedet zik de schare"
"5666v";"Alse gescreuen steit in Genesi in den xliii capittel, dat god sprack totten heiligen patriarke Iacob: Du en salt dy niet ontfruchten …"
"5666v";"Alse na dem ghemenen reghenvalle oft wolken, de umme sunde der menscheit"
"1804";"Alska, diligere"
"5666v";"Alsmen die mynste Jaren ons heren dat is diemen meer scrijft"
"1804";"Also broider Baptista van Salis mynner broeder orden"
"1804";"Also heylich ist der dag"
"5666v";"Also sal hie komen gelijck, dat gy oen ebt gesien opvaeren in den he-mel [Act 1,11]. Dese woerde staen geschreven in den boecke van den werken der apostolen in den irsten capittell..."
"1804";"Also sprichet der wyse Salomon sieuen stunt"
"1804";"Also steit geschrieben in dem eirsten buch der alden ee"
"1804";"Also steit geschrieben in dem eirsten buch der alden ee"
"1804";"Alsoe die diener sprac mijtter ewigher wisheit"
"1804";"Alsoe onse beminde ende gedeputeerden van den steeden, vryheden ende platten lande"
"5666v";"Alstu comes te gerechten, wilt mi niet verdomen, op dattie viant hem"
"5666v";"Alsus beginnet des bokes lop"
"5666v";"Altissima enim est professio."
"5666v";"Altissimo messer Federigo per la divina potenca re de Christiani"
"1804";"Ama mi e non fallire (Vers)"
"1804";"Amargas oras delos"
"5666v";"Ambrius l’avoit fait et mis la garison | Cant li rois l’esgardait, s’en ot compassion"
"5666v";"Ambulator geltari"
"1804";"Amen sprach dye loe zu dem samen komptz duo nyt zu myr, so komen ich zu dyr"
"1804";"Amie de dieu fille et espouse violette"
"1804";"Amor cecho colei"
"5666v";"Amor dominum nescit."
"1804";"Amor ecco collei (Magnificat). Lasso"
"1804";"Amor me tint amor me lie"
"5666v";"Amor tu dai dolce et sichura vita"
"1804";"Amour je te confie aujourd'hui ma franchise"
"1804";"Amour par sa seule gräce"
"1804";"Amour, peut tu souffrir, qu'un insolent cousin"
"1804";"An dem tage aller gleubigen selen da sach eyn mensche"
"5666v";"Ancelmus, die ertsche busschoff van Cantelenberge ende der engelscher lude hyrde, heil ind ewige benedixe in dem heren. Die ersamiche ontfennysse der moder gotz ende maget Marien, alre gemynste broder, mois hoeren ur liefde mych vezellende. Sicher in der tzijt, dat behagede der gotlicker goedertierenheit zo corrigieren dat engelsche volck van iren quaden …"
"5666v";"Ancorche tra le operationi de gli huomini quelle siano piu degne di lode."
"5666v";"Andando il detto papa Bonifatio un di aspasso per l’abitatione sua"
"5666v";"Anderai in luogo aperto accio possi vedere tutte le quatro parti del mondo et ivi elegite un luocho e quello nettalo et poliscalo"
"5666v";"Ane hülpe undt Gnade deß Herrn."
"5666v";"Anfang: Es rieth ein Turck aus Turckenlandt."
"5666v";"Anfang:Laudabile fuerit eorum institutum nec ne."
"5666v";"Anfangs soll ein Jeder Haußvatter denn // Allmechtigen vnd Barmherzigen Gott von // ganzen herzen bitten, das Er Ihne ßein // Göttliche Gnadt wolle verleihen ..."
"1804";"Ange de dieu, que mas engarde"
"5666v";"Anglorum Regi tota scripsit scola salerni."
"5666v";"Anglorum regi scripsit scola tota salerni."
"1804";"Anguien se promenant sur le bord de la Seine"
"5666v";"Anno domini millesimo Quadringentesimo sexagesimo quinto jn die purificacionis beate marie virginis facta est congregacio."
"5666v";"Antiqua patrum traditione."
"5666v";"Apocalipsis liber ultimus est librorum."
"1804";"Apollon -etonne plus qu'un fondeur"
"1804";"Apomnemoneumata ek diaphorôn poiêtôn"
"1804";"Apres la saincte Agathe primae lunae queyons"
"1804";"Apres la sainte passion de Ihesus Crist a lascension"
"5666v";"Apres le temps du Roy artus et des compaignons de la table ronde"
"1804";"Apres lepiphanie prend (Vers)"
"5666v";"Apresso si fara mentione di dodici inbasiadori fiorentini mandati"
"5666v";"Apresso si schriverra gli huomini di Fucecchio che furono sindachim"
"5666v";"Aprez avoir veu et ouÿ l'honorable pompe fenneraille de l'obsecque et conduicte du corps de la noble royne"
"5666v";"Aprés avoir, Madame, mes esperitz en divers lieux estendus"
"5666v";"Aprés ce que j'ay leu et releu et pourveu par maintes fois es livres qui sont es aumaires de monseigneur saint Denis en France"
"5666v";"Aprés la saincte passion Jhesu Crist a l'ascencion, quant il fu au ciel monté, furent aucuns de grant bonté"
"5666v";"Aprés lx ans que Jhesu Crist fut mis en croix en Jherusalem, Vaspasien, filz de August Cesar"
