hida_5705;count;https://normdaten.staatsbibliothek-berlin.de/vocabulary/musicNotation/;https://normdaten.staatsbibliothek-berlin.de/vocabulary/musicStaff/;https://normdaten.staatsbibliothek-berlin.de/vocabulary/musicColour/;exists
Teilweise Neumen, unliniert (39verso. 49verso. 58recto. 75recto-verso. 95recto. 141verso. 144recto-verso);1;Linienlose Neumennotation;;;Notation vorhanden
Textura;1;;;;
Tonarbuchstaben;5;;;;
Über den einzelnen Antiphonen vierlinige Notensysteme, f-Linie rot, mit einer Mischform aus Metzer und gotischer Choralnotation.;1;Neumennotation auf Linien;Vierliniensystem;Rot;Notation vorhanden
Über den einzelnen Zeilen der Antiphonen und Responsorien vierlinige Notensysteme, f-Linie rot, mit c- und f-Schlüssel, mit einer Mischform aus Metzer und gotischer Choralnotation.;1;Neumennotation auf Linien;Vierliniensystem;Rot;Notation vorhanden
Über den einzelnen Zeilen der Antiphonen, Responsorien, Versikel und Psalmverse sowie teilweise über den Hymnen vierlinige Notensysteme, f-Linie rot, weitere Linie gelb, mit einer Mischform aus gotischer Choral- und Metzer Notation, fehlt 313va–321vb.;1;Neumennotation auf Linien;Vierliniensystem;"Rot; Gelb";Notation vorhanden
"Über den meisten Textzeilen Notensysteme auf vier Linien; die Form der Notation wechselt in der Regel mit den Händen: 1v–2r und 120r–121r Mischform aus gotischer Hufnagel- und Metzer Notation mit c- und/oder f-Schlüssel und Kustoden; 5r–119v gotische Hufnagelnotation, f-Linie zuweilen rot, mit c- und/oder f-Schlüssel, teilweise auch g- und c-Schlüssel, sehr selten Kustoden; 121v–122v: etwas andere Hufnagelnotation mit f-Schlüssel und Kustoden.";1;Neumennotation auf Linien;Vierliniensystem;Rot;Notation vorhanden
"Über den Textzeilen der Invitatorien, Antiphonen, Psalmverse, Responsorien und Versikel ( 1r–204v 215r–221v und 233r–234v) linienlose ""frühgotische"" deutsche Neumen mit Zierneumen.";1;deutsche Neumen;;;Notation vorhanden
"Über den Textzeilen der Invitatorien, Antiphonen, Psalmverse, Responsorien und Versikel linienlose ""frühgotische"" deutsche Neumen, in marg. häufig neben den Psalmantiphonen Angabe der Psalmtondifferenz durch die notierte Vokalfolge Euouae.";1;deutsche Neumen;;;Notation vorhanden
"Über den Textzeilen der Invitatorien, Antiphonen, Psalmverse, Responsorien, Versikel und Hymnen linienlose ""frühgotische"" deutsche Neumen mit Zierneumen (orisci), die einen älteren Typus der Notation konservieren. Sie wurden von anderer Hand nachgetragen und am Schluss unregelmäßig ausgeführt, vgl. auch bei Cod. Guelf. 512 Helmst.";1;deutsche Neumen;;;Notation vorhanden
"Über den Textzeilen der Invitatorien, Antiphonen, Psalmverse, Responsorien, Versikel und Hymnen linienlose ""frühgotische"" deutsche Neumen.";1;deutsche Neumen;;;Notation vorhanden
Über den Textzeilen der Invitatorien, Antiphonen, Responsorien und Versikel linienlose deutsche Neumen.;1;deutsche Neumen;;;Notation vorhanden
"Über den von der Haupthand (Bl. 1r–112r) geschriebenen Textzeilen der Invitatorien, Antiphonen, Psalmverse, Responsorien, Versikel und Hymnen linienlose ""frühgotische"" deutsche Neumen.";1;deutsche Neumen;;;Notation vorhanden
Über jeder Textzeile (beim Hymnus nur über der ersten Strophe) ein Notensystem aus fünf Notenlinien, f-Linie rot, c-Linie gelb, mit gotischer Choralnotation.;1;deutsche Neumen auf Linien;Fünfliniensystem;"Rot; Gelb";Notation vorhanden
Über jeder Textzeile der Gesangsteile ein Notensystem aus fünf Notenlinien mit c- und f-Schlüssel, f-Linie rot. Hufnagelnotation.;1;deutsche Neumen auf Linien;Fünfliniensystem;Rot;Notation vorhanden
Über jeder Textzeile der Gesangsteile gotische Choralnotation auf 4 Notenlinien mit c-Schlüssel.;1;deutsche Neumen auf Linien;Vierliniensystem;;Notation vorhanden
Über jeder Textzeile ein Notensystem aus fünf Linien mit c- und f-Schlüssel, c-Linie gelb, f-Linie rot, mit einer Mischform aus Metzer und gotischer Choralnotation von verschiedenen Händen.;1;Neumennotation auf Linien;Fünfliniensystem;"Rot; Gelb";Notation vorhanden
