"32"$"Cbm Cat. 131"$"https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00107552/manifest"$"https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb00107552-7"$"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00107552_00003/full/280,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2016"$"2021"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"
"33"$"Cbm Cat. 132"$"https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00107604/manifest"$"https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb00107604-7"$"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00107604_00003/full/280,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2016"$"2021"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"
"34"$"Cbm Cat. 135"$"https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00107551/manifest"$"https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb00107551-2"$"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00107551_00003/full/280,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2016"$"2021"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"
"35"$"Cbm Cat. 136"$"https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00107602/manifest"$"https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb00107602-6"$"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00107602_00003/full/280,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2016"$"2021"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"
"36"$"Cbm Cat. 137"$"https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00107601/manifest"$"https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb00107601-1"$"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00107601_00003/full/280,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2016"$"2023"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"
"37"$"Cbm Cat. 138"$"https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00107600/manifest"$"https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb00107600-5"$"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00107600_00003/full/280,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2016"$"2023"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"
"38"$"Cbm Cat. 14 c(1"$"https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00133860/manifest"$"https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb00133860-2"$"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00133860_00003/full/280,/0/default.jpg"$"Komplett"$"Reproduktion"$"Graustufen"$"Einzelseite"$"2020"$"2021"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"
"39"$"Cbm Cat. 14 c(2"$"https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00133861/manifest"$"https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb00133861-7"$"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00133861_00003/full/280,/0/default.jpg"$"Komplett"$"Reproduktion"$"Graustufen"$"Einzelseite"$"2020"$"2021"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"
"40"$"Cbm Cat. 14 c(3"$"https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00133862/manifest"$"https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb00133862-2"$"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00133862_00003/full/280,/0/default.jpg"$"Komplett"$"Reproduktion"$"Graustufen"$"Einzelseite"$"2020"$"2021"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"
"41"$"Cbm Cat. 14(1"$"https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00016096/manifest"$"https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb00016096-5"$"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00016096_00003/full/280,/0/default.jpg"$"Komplett"$"Reproduktion"$"Graustufen"$"Einzelseite"$"2007"$"2021"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"
"42"$"Cbm Cat. 14(1"$"https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00095226/manifest"$"https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb00095226-6"$"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00095226_00003/full/280,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2015"$"2021"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"
