"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5967(1"$"Codex germanicus monacensis  5967(1"$"Cod.germ.mon. 5967(1"$"Cod. germ. monac. 5967(1"$"Cgm 5967-1"$"Cgm 5967, 1"$"Cgm 5967/1"$"Cgm 5967(I"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5967(2"$"Codex germanicus monacensis  5967(2"$"Cod.germ.mon. 5967(2"$"Cod. germ. monac. 5967(2"$"Cgm 5967-2"$"Cgm 5967, 2"$"Cgm 5967/2"$"Cgm 5967(II"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5967(2 a"$"Codex germanicus monacensis  5967(2 a"$"Cod.germ.mon. 5967(2 a"$"Cod. germ. monac. 5967(2 a"$"Cgm 5967-2(A"$"Cgm 5967, 2a"$"Cgm 5967/2 a"$"Cgm 5967(II a"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5967(3"$"Codex germanicus monacensis  5967(3"$"Cod.germ.mon. 5967(3"$"Cod. germ. monac. 5967(3"$"Cgm 5967-3"$"Cgm 5967, 3"$"Cgm 5967/3"$"Cgm 5967(III"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5967(4"$"Codex germanicus monacensis  5967(4"$"Cod.germ.mon. 5967(4"$"Cod. germ. monac. 5967(4"$"Cgm 5967-4"$"Cgm 5967, 4"$"Cgm 5967/4"$"Cgm 5967(IV"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5967(5"$"Codex germanicus monacensis  5967(5"$"Cod.germ.mon. 5967(5"$"Cod. germ. monac. 5967(5"$"Cgm 5967-5"$"Cgm 5967, 5"$"Cgm 5967/5"$"Cgm 5967(V"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5967(6"$"Codex germanicus monacensis  5967(6"$"Cod.germ.mon. 5967(6"$"Cod. germ. monac. 5967(6"$"Cgm 5967-6"$"Cgm 5967, 6"$"Cgm 5967/6"$"Cgm 5967(VI"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5967(7"$"Codex germanicus monacensis  5967(7"$"Cod.germ.mon. 5967(7"$"Cod. germ. monac. 5967(7"$"Cgm 5967-7"$"Cgm 5967, 7"$"Cgm 5967/7"$"Cgm 5967(VII"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5967(8"$"Codex germanicus monacensis  5967(8"$"Cod.germ.mon. 5967(8"$"Cod. germ. monac. 5967(8"$"Cgm 5967-8"$"Cgm 5967, 8"$"Cgm 5967/8"$"Cgm 5967(VIII"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5967(9"$"Codex germanicus monacensis  5967(9"$"Cod.germ.mon. 5967(9"$"Cod. germ. monac. 5967(9"$"Cgm 5967-9"$"Cgm 5967, 9"$"Cgm 5967/9"$"Cgm 5967(IX"
